,0
0,Michigan
1,Mississippi
2,Maryland
3,Arkansas
4,Iowa
5,Hawaii
6,Maine
7,South Dakota
8,New Mexico
9,South Carolina
10,Rhode Island
11,Louisiana
12,Minnesota
13,New York
14,Florida
15,North Carolina
16,Tennessee
17,West Virginia
18,Wisconsin
19,Texas
20,Pennsylvania
21,New Hampshire
22,Oregon
23,Wyoming
24,Idaho
25,North Dakota
26,Indiana
27,Massachusetts
28,Alaska
29,Illinois
30,Connecticut
31,Vermont
32,Missouri
33,Kentucky
34,Georgia
35,Alabama
36,Montana
37,Washington
38,Arizona
39,New Jersey
40,California
41,Virginia
42,Nevada
43,Delaware
44,Kansas
45,Nebraska
46,Oklahoma
